learner_steps,learner_walltime,loss
1,0,126.99174
2,0.11491179466247559,0.6074051
3,0.2427845001220703,32.03612
4,0.38123273849487305,0.67792916
5,0.5337512493133545,0.37008798
6,0.6794905662536621,0.48151806
7,0.8183267116546631,158.19952
8,0.9533662796020508,0.18486646
9,1.088536262512207,0.7130259
10,1.2254583835601807,60.25095
11,1.3601479530334473,0.69711185
12,1.4934544563293457,90.76663
13,1.6338355541229248,127.170166
14,1.7699532508850098,126.76615
15,1.9084086418151855,106.717865
16,2.0421292781829834,0.3339537
17,2.1740405559539795,241.4477
18,2.309905767440796,125.73017
19,2.445138931274414,0.97845596
20,2.582686185836792,84.31925
21,2.716217279434204,0.5747878
22,2.846163034439087,0.6975653
23,2.975196599960327,0.798579
24,3.110034704208374,0.73458487
25,3.243959426879883,155.35194
26,3.3768162727355957,0.90355515
27,3.5105597972869873,31.328068
28,3.6449780464172363,1.1004479
29,3.771397113800049,31.077202
30,3.896772861480713,315.10043
31,4.0198469161987305,0.8383431
32,4.143868684768677,0.8097007
33,4.2685546875,181.48979
34,4.391345977783203,104.39618
35,4.52707314491272,122.29131
36,4.661971807479858,0.83931774
37,4.786659479141235,1.1427081
38,4.909332275390625,81.44641
39,5.0346550941467285,1.1790911
40,5.157180309295654,120.279594
41,5.281813144683838,231.59521
42,5.409357070922852,1.9983406
43,5.530593633651733,1.3328404
44,5.657181978225708,166.08926
45,5.783135890960693,57.74361
46,5.910433530807495,2.0909898
47,6.036960124969482,56.621353
48,6.164261102676392,99.714874
49,6.290492296218872,102.51945
50,6.416179418563843,102.76432
51,6.546423673629761,1.7575793
52,6.681843042373657,2.7017303
53,6.817857503890991,1.8747569
54,6.950385570526123,242.90186
55,7.078793525695801,29.34154
56,7.209287643432617,2.2537532
57,7.341306686401367,1.7024703
58,7.470046758651733,1.4025451
59,7.5986151695251465,1.6571404
60,7.721430063247681,1.7043262
61,7.844294548034668,102.97506
62,7.967128038406372,1.3674586
63,8.088584423065186,82.044876
64,8.213650703430176,1.9167033
65,8.337375402450562,172.42484
66,8.470908164978027,77.65855
67,8.597317218780518,280.4198
68,8.71872067451477,61.842747
69,8.841501951217651,118.23923
70,8.965607166290283,83.79048
71,9.088157892227173,1.7542082
72,9.209202527999878,93.35489
73,9.329064846038818,21.50467
74,9.444539546966553,156.42549
75,9.563404560089111,91.11319
76,9.68500566482544,21.643805
77,9.809356927871704,95.38077
78,9.929569959640503,73.605835
79,10.050113439559937,1.6211039
80,10.170941829681396,32.26869
81,10.289099931716919,2.1125321
82,10.41033935546875,3.3489587
83,10.530447721481323,3.5472975
84,10.651964664459229,93.7941
85,10.772181272506714,73.271484
86,10.896623134613037,74.23059
87,11.020303010940552,230.97705
88,11.143118858337402,17.831505
89,11.264055490493774,26.60262
90,11.386178970336914,196.17552
91,11.509440898895264,143.2575
92,11.631383419036865,4.977529
93,11.74915623664856,27.059393
94,11.867012739181519,3.3739464
95,11.982716083526611,97.699524
96,12.09838080406189,121.13016
97,12.214643478393555,122.76297
98,12.330585479736328,4.6719284
99,12.445834636688232,184.0737
100,12.55621862411499,3.5390854
101,12.672927856445312,5.944338
102,12.78993034362793,22.807243
103,12.910099983215332,5.4538426
104,13.025399446487427,4.9946423
105,13.140321493148804,4.8851423
106,13.25532054901123,108.895424
107,13.38326096534729,91.89346
108,13.501774311065674,62.644993
109,13.61985468864441,149.43817
110,13.73741340637207,5.0167947
111,13.85712456703186,88.715546
112,13.976679563522339,68.54934
113,14.093751192092896,60.451233
114,14.211806774139404,5.6423054
115,14.333003997802734,230.11678
116,14.45516037940979,5.4587216
117,14.576237201690674,19.88788
118,14.693993330001831,7.420866
119,14.813204288482666,74.744354
120,14.92983365058899,35.75122
121,15.046249866485596,61.98325
122,15.16459846496582,21.892418
123,15.282827377319336,93.44777
124,15.39720368385315,95.898224
125,15.503767251968384,31.97192
126,15.608588695526123,37.177097
127,15.715616703033447,6.2773547
128,15.827482223510742,3.2520924
129,15.934028387069702,151.53659
130,16.04589605331421,262.72574
131,16.157342672348022,142.46649
132,16.267793655395508,252.86505
133,16.3787260055542,7.120352
134,16.505055904388428,166.21344
135,16.629367351531982,141.09595
136,16.752796173095703,86.439415
137,16.875731945037842,211.91835
138,16.997375965118408,168.2109
139,17.11704444885254,135.21024
140,17.235612630844116,227.80672
141,17.354480504989624,75.52363
142,17.46973991394043,121.20928
143,17.593698024749756,202.21887
144,17.723931074142456,62.88208
145,17.87993597984314,29.708357
146,18.0283145904541,177.20284
147,18.18650984764099,124.34056
148,18.335524082183838,114.795006
149,18.48564314842224,61.463108
150,18.626583337783813,89.692215
151,18.74345088005066,296.2427
152,18.863779067993164,76.10624
153,18.985122680664062,134.93561
154,19.106552124023438,21.312527
155,19.229809761047363,36.496384
156,19.34574604034424,39.316914
157,19.4675235748291,147.82848
158,19.58719539642334,86.25525
159,19.700857639312744,83.60172
160,19.81670832633972,34.415863
161,19.931579113006592,145.19432
162,20.049615621566772,63.397873
163,20.170390367507935,116.62495
164,20.289320945739746,155.73618
165,20.40597915649414,116.673325
166,20.52985191345215,51.930008
167,20.659530878067017,204.87663
168,20.778178930282593,7.0657706
169,20.89642882347107,68.2489
170,21.015008687973022,235.75667
171,21.13542413711548,51.778263
172,21.252047777175903,95.03974
173,21.37226915359497,203.31354
174,21.48855972290039,316.3805
175,21.60819125175476,143.00938
176,21.723740100860596,131.9709
177,21.839251041412354,201.8039
178,21.95271921157837,98.36377
179,22.070377826690674,135.80957
180,22.191168308258057,81.938614
181,22.314414739608765,141.9201
182,22.434694528579712,213.15176
183,22.545596837997437,121.7847
184,22.655614852905273,227.64359
185,22.775446891784668,46.918087
186,22.889280796051025,190.34204
187,23.00045156478882,25.822968
188,23.109609127044678,45.307304
189,23.216800212860107,160.61652
190,23.320411443710327,187.20377
191,23.424278020858765,142.1003
192,23.526150703430176,116.039604
193,23.631482362747192,149.11583
194,23.740614652633667,142.39973
195,23.85025143623352,61.208
196,23.95984411239624,121.79716
197,24.06808567047119,132.23607
198,24.17289686203003,136.19928
199,24.279256582260132,106.074066
200,24.382269382476807,140.72893
201,24.484875917434692,173.54625
202,24.60529065132141,93.53781
203,24.73095726966858,32.446915
204,24.856974601745605,72.154205
205,24.980103969573975,134.39383
206,25.105568408966064,148.83372
207,25.225491762161255,253.24152
208,25.351961851119995,205.6454
209,25.47382354736328,146.51375
210,25.594767808914185,63.672234
211,25.715402126312256,221.53836
212,25.836753129959106,162.1678
213,25.958563089370728,48.760056
214,26.076534509658813,266.63925
215,26.192936182022095,183.87914
216,26.32755470275879,63.445415
217,26.47001314163208,129.02458
218,26.609771728515625,55.18309
219,26.74536681175232,56.828564
220,26.876784324645996,118.21556
221,27.020335912704468,126.0603
222,27.15447759628296,142.6496
223,27.283454656600952,264.43835
224,27.412739276885986,102.556656
225,27.539369821548462,144.66333
226,27.667012453079224,275.79855
227,27.79762053489685,142.25072
228,27.930975675582886,144.36798
229,28.060932636260986,106.06384
230,28.19188356399536,168.12668
231,28.330623626708984,81.363106
232,28.466577529907227,229.73236
233,28.61446762084961,176.12093
234,28.74845051765442,170.88759
235,28.87627100944519,143.98991
236,29.001304626464844,158.6468
237,29.13454508781433,115.166534
238,29.279560565948486,140.98729
239,29.420605182647705,47.79562
240,29.557697534561157,161.28575
241,29.696074724197388,108.8884
242,29.835912942886353,257.99902
243,29.97256827354431,109.093414
244,30.10726761817932,38.65884
245,30.23637580871582,108.31557
246,30.35614585876465,142.66016
247,30.47586727142334,118.05512
248,30.602327585220337,60.33509
249,30.72509264945984,130.18562
250,30.8470516204834,187.41518
251,30.971308708190918,145.92311
252,31.093214750289917,24.799644
253,31.209096431732178,155.21584
254,31.33407759666443,106.18356
255,31.456851720809937,75.68837
256,31.576271295547485,141.8246
257,31.724788188934326,57.433586
258,31.848418474197388,97.29926
259,31.9720242023468,358.07886
260,32.1022515296936,92.7242
261,32.227861642837524,51.774326
