average_flow_time,average_tardiness,episode_length,episode_return,episodes,jobs_completed,makespan,penalty_count,steps,steps_per_second,total_major_setups,total_minor_setups,total_tardiness
0,0,1,-1.0,701,0,0,0,1598,15.539696712595727,0,0,0
0,0,1,-1.0,702,0,0,0,1599,14.492301738673744,0,0,0
0,0,1,-1.0,703,0,0,0,1600,15.058553205544765,0,0,0
0,0,1,-1.0,704,0,0,0,1601,15.504598550938933,0,0,0
0,0,1,-1.0,705,0,0,0,1602,15.224278677754345,0,0,0
0,0,1,-1.0,706,0,0,0,1603,15.629160394091606,0,0,0
0,0,1,-1.0,707,0,0,0,1604,15.736468893274404,0,0,0
0,0,1,-1.0,708,0,0,0,1605,16.17523833029957,0,0,0
0,0,1,-1.0,709,0,0,0,1606,16.134048298623664,0,0,0
0,0,1,-1.0,710,0,0,0,1607,15.470400342286384,0,0,0
0,0,1,-1.0,711,0,0,0,1608,15.803886253424116,0,0,0
0,0,1,-1.0,712,0,0,0,1609,15.710651304256626,0,0,0
0,0,1,-1.0,713,0,0,0,1610,15.917118580390044,0,0,0
0,0,1,-1.0,714,0,0,0,1611,15.370000256514553,0,0,0
0,0,1,-1.0,715,0,0,0,1612,15.730861984255275,0,0,0
0,0,1,-1.0,716,0,0,0,1613,15.896426784712641,0,0,0
0,0,1,-1.0,717,0,0,0,1614,15.966014723907698,0,0,0
0,0,1,-1.0,718,0,0,0,1615,15.669799901370354,0,0,0
0,0,1,-1.0,719,0,0,0,1616,15.79156940407524,0,0,0
0,0,1,-1.0,720,0,0,0,1617,16.153434955748804,0,0,0
0,0,1,-1.0,721,0,0,0,1618,15.8735656544249,0,0,0
0,0,1,-1.0,722,0,0,0,1619,15.78996427374817,0,0,0
0,0,1,-1.0,723,0,0,0,1620,13.506224520682926,0,0,0
0,0,1,-1.0,724,0,0,0,1621,15.9886555102352,0,0,0
0,0,1,-1.0,725,0,0,0,1622,15.826367821296506,0,0,0
0,0,1,-1.0,726,0,0,0,1623,16.023900394646862,0,0,0
0,0,1,-1.0,727,0,0,0,1624,15.605260905962236,0,0,0
0,0,1,-1.0,728,0,0,0,1625,16.100851433002433,0,0,0
0,0,1,-1.0,729,0,0,0,1626,15.919051757838446,0,0,0
0,0,1,-1.0,730,0,0,0,1627,15.687558206945562,0,0,0
0,0,1,-1.0,731,0,0,0,1628,15.783071869108587,0,0,0
0,0,1,-1.0,732,0,0,0,1629,15.860360292226945,0,0,0
0,0,1,-1.0,733,0,0,0,1630,16.136469085550942,0,0,0
0,0,1,-1.0,734,0,0,0,1631,16.031740086000955,0,0,0
0,0,1,-1.0,735,0,0,0,1632,15.794007448326763,0,0,0
0,0,1,-1.0,736,0,0,0,1633,15.845680155045203,0,0,0
0,0,1,-1.0,737,0,0,0,1634,15.868821199269043,0,0,0
0,0,1,-1.0,738,0,0,0,1635,16.03394638153745,0,0,0
0,0,1,-1.0,739,0,0,0,1636,15.902453820255392,0,0,0
0,0,1,-1.0,740,0,0,0,1637,16.0102604818762,0,0,0
0,0,1,-1.0,741,0,0,0,1638,15.755443949018268,0,0,0
0,0,1,-1.0,742,0,0,0,1639,15.958299883194016,0,0,0
0,0,1,-1.0,743,0,0,0,1640,16.243770574338715,0,0,0
0,0,1,-1.0,744,0,0,0,1641,15.937622069384808,0,0,0
0,0,1,-1.0,745,0,0,0,1642,15.915910582896,0,0,0
0,0,1,-1.0,746,0,0,0,1643,15.685035601029139,0,0,0
0,0,1,-1.0,747,0,0,0,1644,15.861439905609718,0,0,0
0,0,1,-1.0,748,0,0,0,1645,15.90191119991204,0,0,0
0,0,1,-1.0,749,0,0,0,1646,15.984024755531504,0,0,0
0,0,1,-1.0,750,0,0,0,1647,15.88558962549994,0,0,0
0,0,1,-1.0,751,0,0,0,1648,15.353234231497106,0,0,0
0,0,1,-1.0,752,0,0,0,1649,15.62793747787693,0,0,0
0,0,1,-1.0,753,0,0,0,1650,16.006105844819952,0,0,0
0,0,1,-1.0,754,0,0,0,1651,15.95241246586492,0,0,0
0,0,1,-1.0,755,0,0,0,1652,15.6865021336435,0,0,0
0,0,1,-1.0,756,0,0,0,1653,15.857122333708876,0,0,0
0,0,1,-1.0,757,0,0,0,1654,15.817773151709885,0,0,0
0,0,1,-1.0,758,0,0,0,1655,15.959575050987793,0,0,0
0,0,1,-1.0,759,0,0,0,1656,14.479893946089263,0,0,0
0,0,1,-1.0,760,0,0,0,1657,15.820457983018946,0,0,0
0,0,1,-1.0,761,0,0,0,1658,15.850710282563593,0,0,0
0,0,1,-1.0,762,0,0,0,1659,15.871403272435558,0,0,0
0,0,1,-1.0,763,0,0,0,1660,15.676652301804141,0,0,0
0,0,1,-1.0,764,0,0,0,1661,15.961397072814314,0,0,0
0,0,1,-1.0,765,0,0,0,1662,16.21808142479864,0,0,0
0,0,1,-1.0,766,0,0,0,1663,15.830608909639214,0,0,0
0,0,1,-1.0,767,0,0,0,1664,15.808889877239336,0,0,0
0,0,1,-1.0,768,0,0,0,1665,15.545744318097581,0,0,0
0,0,1,-1.0,769,0,0,0,1666,15.238272394349822,0,0,0
0,0,1,-1.0,770,0,0,0,1667,14.835068210194214,0,0,0
0,0,1,-1.0,771,0,0,0,1668,15.22588139629436,0,0,0
0,0,1,-1.0,772,0,0,0,1669,15.411736174903545,0,0,0
0,0,1,-1.0,773,0,0,0,1670,15.106280141039354,0,0,0
0,0,1,-1.0,774,0,0,0,1671,15.670151160792342,0,0,0
0,0,1,-1.0,775,0,0,0,1672,15.363863471527264,0,0,0
0,0,1,-1.0,776,0,0,0,1673,15.41428492677459,0,0,0
0,0,1,-1.0,777,0,0,0,1674,15.295676749995442,0,0,0
0,0,1,-1.0,778,0,0,0,1675,15.202426992682051,0,0,0
0,0,1,-1.0,779,0,0,0,1676,15.738417491866823,0,0,0
0,0,1,-1.0,780,0,0,0,1677,15.400588220174997,0,0,0
0,0,1,-1.0,781,0,0,0,1678,15.126001204510784,0,0,0
0,0,1,-1.0,782,0,0,0,1679,14.911861429998613,0,0,0
0,0,1,-1.0,783,0,0,0,1680,15.728266453671726,0,0,0
0,0,1,-1.0,784,0,0,0,1681,15.327481490685045,0,0,0
0,0,1,-1.0,785,0,0,0,1682,15.480392554891619,0,0,0
0,0,1,-1.0,786,0,0,0,1683,15.228479622401743,0,0,0
0,0,1,-1.0,787,0,0,0,1684,15.336000058502197,0,0,0
0,0,1,-1.0,788,0,0,0,1685,15.361162587988836,0,0,0
0,0,1,-1.0,789,0,0,0,1686,15.246248691403979,0,0,0
0,0,1,-1.0,790,0,0,0,1687,15.71783398913247,0,0,0
0,0,1,-1.0,791,0,0,0,1688,15.58780418915102,0,0,0
0,0,1,-1.0,792,0,0,0,1689,15.413208684276286,0,0,0
0,0,1,-1.0,793,0,0,0,1690,15.246858335181193,0,0,0
0,0,1,-1.0,794,0,0,0,1691,15.180637945948686,0,0,0
0,0,1,-1.0,795,0,0,0,1692,15.187509052460822,0,0,0
0,0,1,-1.0,796,0,0,0,1693,15.653250034521237,0,0,0
0,0,1,-1.0,797,0,0,0,1694,15.324233478502324,0,0,0
0,0,1,-1.0,798,0,0,0,1695,15.1148813492135,0,0,0
0,0,1,-1.0,799,0,0,0,1696,15.2814104222304,0,0,0
0,0,1,-1.0,800,0,0,0,1697,15.388101317836282,0,0,0
0,0,1,-1.0,801,0,0,0,1698,15.545917175992676,0,0,0
0,0,1,-1.0,802,0,0,0,1699,14.362480824019286,0,0,0
0,0,1,-1.0,803,0,0,0,1700,15.31986763191152,0,0,0
0,0,1,-1.0,804,0,0,0,1701,15.20016815371569,0,0,0
0,0,1,-1.0,805,0,0,0,1702,15.5443039851165,0,0,0
0,0,1,-1.0,806,0,0,0,1703,15.0971996256569,0,0,0
0,0,1,-1.0,807,0,0,0,1704,15.395444101043173,0,0,0
0,0,1,-1.0,808,0,0,0,1705,15.629102155646228,0,0,0
0,0,1,-1.0,809,0,0,0,1706,15.093342353656649,0,0,0
0,0,1,-1.0,810,0,0,0,1707,15.480106883977738,0,0,0
0,0,1,-1.0,811,0,0,0,1708,15.30148005734903,0,0,0
0,0,1,-1.0,812,0,0,0,1709,14.737902899930779,0,0,0
0,0,1,-1.0,813,0,0,0,1710,15.21765032417704,0,0,0
0,0,1,-1.0,814,0,0,0,1711,15.214062375311043,0,0,0
0,0,1,-1.0,815,0,0,0,1712,15.454610438659518,0,0,0
0,0,1,-1.0,816,0,0,0,1713,15.542287967272404,0,0,0
0,0,1,-1.0,817,0,0,0,1714,15.389061129843588,0,0,0
0,0,1,-1.0,818,0,0,0,1715,15.332075857934523,0,0,0
0,0,1,-1.0,819,0,0,0,1716,15.503681580270278,0,0,0
0,0,1,-1.0,820,0,0,0,1717,15.391489424163694,0,0,0
0,0,1,-1.0,821,0,0,0,1718,15.277402811217186,0,0,0
0,0,1,-1.0,822,0,0,0,1719,15.577325751976735,0,0,0
0,0,1,-1.0,823,0,0,0,1720,15.053635006316757,0,0,0
0,0,1,-1.0,824,0,0,0,1721,15.461332881151,0,0,0
0,0,1,-1.0,825,0,0,0,1722,15.247911471095051,0,0,0
0,0,1,-1.0,826,0,0,0,1723,15.423070417356131,0,0,0
0,0,1,-1.0,827,0,0,0,1724,14.832917211868303,0,0,0
0,0,1,-1.0,828,0,0,0,1725,15.863599573370449,0,0,0
0,0,1,-1.0,829,0,0,0,1726,14.991918390397862,0,0,0
0,0,1,-1.0,830,0,0,0,1727,14.321629419698496,0,0,0
0,0,1,-1.0,831,0,0,0,1728,14.15894406373426,0,0,0
0,0,1,-1.0,832,0,0,0,1729,14.26944641010288,0,0,0
0,0,1,-1.0,833,0,0,0,1730,13.95148269496233,0,0,0
0,0,1,-1.0,834,0,0,0,1731,14.183698383229686,0,0,0
0,0,1,-1.0,835,0,0,0,1732,13.901588921959206,0,0,0
0,0,1,-1.0,836,0,0,0,1733,14.004961818042185,0,0,0
0,0,1,-1.0,837,0,0,0,1734,14.078672390817639,0,0,0
0,0,1,-1.0,838,0,0,0,1735,13.585230290859624,0,0,0
0,0,1,-1.0,839,0,0,0,1736,13.916856624295331,0,0,0
0,0,1,-1.0,840,0,0,0,1737,13.851181591218314,0,0,0
0,0,1,-1.0,841,0,0,0,1738,14.012962888719613,0,0,0
0,0,1,-1.0,842,0,0,0,1739,14.280815248108627,0,0,0
0,0,1,-1.0,843,0,0,0,1740,14.075412432715412,0,0,0
0,0,1,-1.0,844,0,0,0,1741,13.672471232519477,0,0,0
0,0,2,-1.0,845,0,0,0,1743,13.694814534258226,0,0,0
0,0,1,-1.0,846,0,0,0,1744,13.871566672288973,0,0,0
0,0,1,-1.0,847,0,0,0,1745,13.938269307457132,0,0,0
0,0,1,-1.0,848,0,0,0,1746,13.835053518710932,0,0,0
0,0,1,-1.0,849,0,0,0,1747,13.876155848967965,0,0,0
0,0,1,-1.0,850,0,0,0,1748,13.32294849722697,0,0,0
0,0,1,-1.0,851,0,0,0,1749,14.218847251696713,0,0,0
0,0,1,-1.0,852,0,0,0,1750,13.960119687534323,0,0,0
0,0,1,-1.0,853,0,0,0,1751,14.224344452432954,0,0,0
0,0,1,-1.0,854,0,0,0,1752,14.023879658823805,0,0,0
0,0,1,-1.0,855,0,0,0,1753,14.104427070197563,0,0,0
0,0,1,-1.0,856,0,0,0,1754,13.53442250539692,0,0,0
0,0,1,-1.0,857,0,0,0,1755,14.047504856319915,0,0,0
0,0,3,-1.0,858,0,0,0,1758,14.074058497846877,0,0,0
0,0,2,-1.0,859,0,0,0,1760,13.93813035228281,0,0,0
0,0,1,-1.0,860,0,0,0,1761,13.767615296241589,0,0,0
0,0,1,-1.0,861,0,0,0,1762,14.16516041877744,0,0,0
0,0,2,-1.0,862,0,0,0,1764,14.01923912534845,0,0,0
0,0,1,-1.0,863,0,0,0,1765,14.234240471318081,0,0,0
0,0,1,-1.0,864,0,0,0,1766,14.294735120102516,0,0,0
