loss,steps,walltime
0.27208644,1,0
0.18538779,2,0.24921917915344238
0.15209725,3,0.31193995475769043
0.1003445,4,0.37610864639282227
0.10523087,5,0.4378244876861572
0.07886867,6,0.501274585723877
0.052092664,7,0.5659472942352295
0.041237652,8,0.6295454502105713
0.038353972,9,0.6920523643493652
0.016532006,10,0.7635223865509033
0.023745324,11,0.8227553367614746
0.02961801,12,0.8862707614898682
0.025811877,13,0.9568119049072266
0.03878445,14,1.0160717964172363
0.05360406,15,1.0841398239135742
0.008831886,16,1.1420843601226807
0.002892896,17,1.2062864303588867
0.018646397,18,1.269596815109253
0.018664584,19,1.3325202465057373
0.018566158,20,1.3951098918914795
0.013021151,21,1.4568853378295898
0.010995701,22,1.5257635116577148
0.0133519815,23,1.5929079055786133
0.026974134,24,1.6616384983062744
0.015546903,25,1.7350788116455078
0.029331105,26,1.8062360286712646
0.013242861,27,1.8835608959197998
0.028949503,28,1.9571146965026855
0.013222547,29,2.0406792163848877
0.010068338,30,2.1164603233337402
0.0018039125,31,2.1921966075897217
0.003979209,32,2.2676804065704346
0.013062438,33,2.34285044670105
0.003037994,34,2.424522638320923
0.0024854986,35,2.4974453449249268
0.05330064,36,2.569873571395874
0.019995619,37,2.6408309936523438
0.0045380825,38,2.712661027908325
0.007785948,39,2.789525270462036
0.009011827,40,2.8613367080688477
0.0041436064,41,2.945814371109009
0.024207035,42,3.0220417976379395
0.014974246,43,3.0944159030914307
0.003763178,44,3.169325113296509
0.007516553,45,3.2393131256103516
0.0007325585,46,3.3090224266052246
0.013128693,47,3.379239082336426
0.021629822,48,3.45115327835083
0.0032154606,49,3.522753953933716
0.022956656,50,3.593761682510376
0.014004659,51,3.6692676544189453
0.014435567,52,3.740189552307129
0.0019900093,53,3.8125033378601074
0.001412668,54,3.8846828937530518
0.0010382088,55,3.956453800201416
0.0016102635,56,4.027458190917969
0.01746733,57,4.098954677581787
0.0117579745,58,4.1716930866241455
0.001286871,59,4.244784116744995
0.00075116154,60,4.3162877559661865
0.0007494678,61,4.3897271156311035
0.013679809,62,4.464719295501709
0.0007903816,63,4.541088342666626
0.012511744,64,4.619078874588013
0.0022499824,65,4.691955804824829
0.0022589138,66,4.764315128326416
0.011125666,67,4.836427688598633
0.0008268499,68,4.906921863555908
0.0016910434,69,4.9823784828186035
0.0011481061,70,5.050100564956665
0.011929784,71,5.12505030632019
0.02484156,72,5.197461128234863
0.0009862408,73,5.266079902648926
0.023279116,74,5.3357908725738525
0.021680709,75,5.403661251068115
0.004218263,76,5.471359729766846
0.010657967,77,5.543182134628296
0.005010898,78,5.614193916320801
0.0038857218,79,5.687558650970459
0.01885558,80,5.760621547698975
0.0018247308,81,5.82935094833374
0.0012787052,82,5.8958635330200195
0.0007826402,83,5.96503758430481
0.00028119626,84,6.03076434135437
0.012254277,85,6.100838899612427
0.010547456,86,6.167654514312744
0.008357378,87,6.235305070877075
0.0002509158,88,6.3018717765808105
0.0017746001,89,6.370223045349121
0.011858126,90,6.4373297691345215
0.0026652068,91,6.50527548789978
0.00025986548,92,6.5725929737091064
0.00049487525,93,6.643625259399414
0.020680636,94,6.714812755584717
0.004570665,95,6.7854321002960205
0.0013546081,96,6.85330057144165
0.02081262,97,6.920684337615967
0.0004051963,98,6.989337921142578
0.01355428,99,7.062705993652344
0.0029470809,100,7.137251377105713
0.011395065,101,7.206115961074829
0.00940949,102,7.274991750717163
0.0016253986,103,7.343564033508301
0.025835562,104,7.410255432128906
0.0025501817,105,7.479598760604858
0.00860527,106,7.55255651473999
0.010054398,107,7.619115829467773
0.008284397,108,7.686690330505371
0.0083853705,109,7.7538743019104
0.0009337227,110,7.8210906982421875
0.01138943,111,7.888301610946655
0.0014464408,112,7.956310272216797
0.02753857,113,8.024914979934692
0.008901999,114,8.092416763305664
0.010513401,115,8.159888744354248
0.009510713,116,8.227553367614746
0.017419588,117,8.296027183532715
0.013172032,118,8.363413572311401
0.009725068,119,8.430586814880371
0.0031903633,120,8.497819185256958
0.027165692,121,8.56877064704895
0.017909061,122,8.636078357696533
0.0021594372,123,8.70527696609497
0.003150746,124,8.774078369140625
0.007249956,125,8.84390926361084
0.008468584,126,8.910478115081787
0.0088009965,127,8.97957706451416
0.016109727,128,9.047341585159302
0.015527242,129,9.115686655044556
0.017037101,130,9.182582139968872
0.00967955,131,9.247584581375122
0.0015200728,132,9.311839580535889
0.008519576,133,9.377254724502563
0.029354611,134,9.44201946258545
0.016992927,135,9.507219076156616
0.014777333,136,9.573641777038574
0.016455779,137,9.639114379882812
0.004406041,138,9.70459532737732
0.01588921,139,9.769471406936646
0.019077415,140,9.834597826004028
0.01706997,141,9.898144960403442
0.016544817,142,9.961873531341553
0.015720258,143,10.025832414627075
0.02833893,144,10.092414855957031
0.0043139146,145,10.157042503356934
0.005012759,146,10.221339702606201
0.0027903747,147,10.285531044006348
0.03660638,148,10.35018515586853
0.03392223,149,10.416900873184204
0.015487388,150,10.481789588928223
0.0077536777,151,10.547085762023926
0.014083531,152,10.61134958267212
0.0047674673,153,10.676424503326416
0.016422525,154,10.74240756034851
0.013504647,155,10.807419300079346
0.009410111,156,10.872252225875854
0.0013086454,157,10.937353372573853
0.0075463494,158,11.006125926971436
0.0020113767,159,11.07184100151062
0.014350707,160,11.137755870819092
0.00957506,161,11.202877521514893
0.027483253,162,11.268949031829834
0.014348732,163,11.335249423980713
0.007605767,164,11.399456262588501
0.00093623006,165,11.46449899673462
0.008826164,166,11.528682231903076
0.0022684357,167,11.59650206565857
0.008691132,168,11.663222312927246
